Account,Token Account,Quantity,Percentage
3dcPDhHzCQzTm2EiHLbU9L1jaopWxrMiJHd25ia29pxW,HATWdH9gfkjFMVH7ffLGgMZHVu3J7FUv1wsPsFMpda1d,1245188.39,0.12
AY47AyW3TVrWH84spdQAC8nHuYoUwgCw9wTudqH3Mz9,3FYts6vJerfRDD45b3VpkhUFZnc46KNfPNeVawE4F5Po,1241139.26,0.12
Bi8E5xfDatBhzgb7ZRUtKQznqpfSt5Z3jqCGV6gkoRfk,9DYW7Gn7aVpYTu6EkCT7WfQJsMjV1xMLyzFdbXmaaBiL,1217230.38,0.12
3xqUaVuAWsppb8yaSPJ2hvdvfjteMq2EbdCc3CLguaTE,AARnypiuJWhSaBWmE572R2qJ65yyufjgKwWyKKyrZsix,1196583.61,0.12
3tVgyMEUzpTMPtkBP4PNVQoz3ro6Ut7EbxRT3jTr7RJR,9Js3cKhbNGwTyA2HxkvRW2wV3iX23b6FmmShAG1zXrRK,1191862.87,0.12
CEEdbExnWHYSbjXd3LSnS9RoXfKnbU5JA4sWJ3yDRH3v,HkQXGHbpoe1M9KT5AwmTeybz3QcdNwDsfp3zDjQ1t9rT,1176929.92,0.12
FKisy8qwtKqRFpHCwAkrtBau43NH8Cr6m8fs72Aycnq,9e7FgVKPzfrZimvEqZQymhKUwg4Q8jTeHFLpPFfQ4RjM,1169499.46,0.12
7PEDKVwHyxWw28LiELVx43rDmizyeThQJnsktKnB58L5,3EtRjdT3WzuoQgb4sbp73xXLG3aNYz2WEo1Hu1EDBoBu,1144837.75,0.11
BvnExXcvVFFZwQHCYPQRuvARXSwJvCFBTyLZBhDz8aSh,FZimxnNUYUJg2nBeSgb2PgeRZvc7SmMgPcccoHYLUNqr,1136890.17,0.11
44TUXh1q68fKTc3gtvgjg4yrkqEizJimwqU9YwJyzwQJ,4h4Rkh12t2uPEKDNGTNiJD66wVoW5SLWgjtbKyYbai9X,1131622.03,0.11
5jyhg8XU2Aj9juJzovs4u2NVFt78uRqYcS8LUiNcCAsb,GXQ4R8t1r12Gatcwhs8ZZwmMoGJKgdCwNqPosQhuJ7JZ,1113742.29,0.11
8nJBAGyuGAkGJy2Wi18zmMWDqPMz1aRW4BSmEZ89gbDF,GxpEYN6hg5vXAG5dwVvbgJ1gW2nt4tCUJ64Ha2jyY2tm,1097419.27,0.11
YetiUt8YSqwFwEkCERv1uBXk5F4p1qhP5SzgSqwDEq9,62YXukQy76LSy8T5uJpdXnQxHwD7SWkLQSsE5i9vRMy2,1078843.29,0.11
8yqX6dk9GvLiwQoF2cFpBkBhR6hCCegJrT9xHMh5T4xg,9Hzug6PkwGYaVWVzAyoZJpdKRhUg16PyqMztkpJURHJb,1075936.01,0.11
Ft9vYwSiuAx2NTc3VspjLeDMpR9Myd1Sekv5jZ53heT8,6RiFgv9jBLwBro7vbF24JhhpMKn4s32ghaLmk3F5Cw17,1062668.42,0.11
